"year","island","island_code","region","region_code","district","district_code","total"
"2022","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",3934
"2022","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1032
"2023","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",2597
"2023","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",3778
"2023","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3092
"2023","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3154
"2023","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",5627
"2023","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",3186
"2023","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",3864
"2023","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2315
"2023","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",2662
"2023","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4249
"2023","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",5550
"2023","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",4943
"2023","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",4236
"2023","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3541
"2023","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",3296
"2023","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",4524
"2023","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",4106
"2023","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",3624
"2023","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",2792
"2023","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",5569
"2023","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",4490
"2023","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",3900
"2023","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4083
"2023","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",4302
"2023","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3644
"2023","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2991
"2023","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",152
"2024","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",3167
"2024","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4288
"2024","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3424
"2024","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3737
"2024","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",6285
"2024","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",4105
"2024","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",4680
"2024","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2753
"2024","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3875
"2024","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4743
"2024","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",6047
"2024","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",5108
"2024","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",7353
