"year","island","island_code","region","region_code","district","district_code","population"
"2023","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3747
"2023","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",3868
"2023","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",5378
"2023","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",4791
"2023","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",4136
"2023","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",3240
"2023","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",6549
"2023","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",5598
"2023","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",4825
"2023","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4492
"2023","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5058
"2023","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",4340
"2023","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",3930
"2023","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1031
"2024","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",3167
"2024","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4288
"2024","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3424
"2024","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3737
"2024","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",6285
"2024","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",4105
